ID,DATE1,Fire Year,Location,Landscape,Soil,Rainfall (mm),SEASON,REPLICATE,FREQUENCY,PLOT_NO,FMCDRYW ,FUEL LOAD (kg/ha) ,AIRTEMP,RH (%),WIND (m/s),PLOTROS,MEDIAN FUELLOAD (kg/m2),Heat Yeild,PLOTFI MEDIAN FL,% OF PLOT BURNT,TYPE OF BURN,SUCCESS OF FIRE
2713,10/20/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,SHABENI,2,5,16.38,4678,34.9,32.4,2.0,0.48,0.4678,16890,3793,100,clean,highly
2896,10/20/86,1986,Pretoriuskop,Lowveld sour bushveld,Granite,737,Oct,KAMBENI,2,3,40.00,2874,35.3,34.1,0.8,0.30,0.2874,16890,1456,70,dirty,successful
561,10/22/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,NWASWITSHAKA,2,4,13.10,3211,34.2,26.7,1.4,0.30,0.3211,16890,1627,100,clean,highly
589,10/22/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,MBIYAMITI,2,3,15.00,2517,35.3,27.1,1.2,0.69,0.2517,16890,2933,100,clean,highly
821,10/22/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,NAPI,2,5,13.00,2676,32.9,35.9,1.2,0.69,0.2676,16890,3123,100,clean,highly
902,10/22/86,1986,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Oct,SKUKUZA,2,1,18.00,2563,28.2,50.4,1.4,0.30,0.2563,16890,1292,100,clean,highly
1803,11/5/86,1986,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,NWANETSI,2,3,34.00,3628,28.9,40.6,2.0,0.35,0.3628,16890,2173,100,clean,highly
1976,11/5/86,1986,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,LINDANDA,2,1,44.00,2787,27.8,42.1,2.7,0.19,0.2787,16890,875,60,moderate,successful
2146,11/5/86,1986,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,MARHEYA,2,5,23.00,4234,29.4,38.6,3.0,0.66,0.4234,16890,4738,100,clean,highly
2337,11/5/86,1986,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Oct,SATARA,2,4,24.00,3129,31.9,36.6,2.6,0.39,0.3129,16890,2044,80,clean,highly
810,2/3/87,1987,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Feb,NAPI,2,4,172.20,2960,39.9,38.7,1.3,0.18,0.2960,16890,900,25,dirty,unsuccessful
894,2/3/87,1987,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Feb,NAPI,3,12,149.00,3211,37.6,45.1,1.3,0.16,0.3211,16890,873,60,dirty,successful
930,2/3/87,1987,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Feb,SKUKUZA,2,3,156.00,3531,35.6,51.4,1.5,0.20,0.3531,16890,1200,70,dirty,successful
1031,2/3/87,1987,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Feb,SKUKUZA,3,10,133.50,3799,31.1,60.8,1.5,0.18,0.3799,16890,1155,70,dirty,successful
1640,2/3/87,1987,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Feb,MBIYAMITI,3,8,161.86,3003,40.6,33.0,1.3,0.18,0.3003,16890,913,20,dirty,unsuccessful
2509,2/4/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,NUMBI,2,3,105.52,6702,36.9,38.1,0.8,0.15,0.6702,16890,1656,100,moderate,successful
2514,2/4/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,NUMBI,3,10,110.29,5482,34.9,47.5,0.8,0.15,0.5482,16890,1355,80,moderate,successful
2691,2/4/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,SHABENI,2,4,158.40,6569,38.7,35.2,0.8,0.15,0.6569,16890,1623,100,clean,highly
2703,2/4/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,SHABENI,3,12,119.20,4875,38.7,37.7,0.8,0.15,0.4875,16890,1205,80,clean,successful
2872,2/4/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,KAMBENI,2,4,193.48,6272,36.2,36.1,0.8,0.15,0.6272,16890,1550,80,moderate,successful
2887,2/4/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,KAMBENI,3,8,119.80,4777,37.4,36.5,0.8,0.15,0.4777,16890,1180,100,clean,highly
3070,2/4/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,FAYI,2,6,193.33,4875,33.0,44.0,0.8,0.15,0.4875,16890,1205,80,moderate,successful
3087,2/4/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Feb,FAYI,3,11,119.00,4092,29.8,54.8,0.8,0.15,0.4092,16890,1011,80,moderate,successful
1775,2/9/87,1987,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,NWANETSI,2,4,114.00,3129,33.9,40.0,1.2,0.17,0.3129,16890,908,70,moderate,successful
1786,2/9/87,1987,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,NWANETSI,3,8,105.79,3129,34.9,36.0,1.1,0.17,0.3129,16890,898,50,clean,highly
1948,2/9/87,1987,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,LINDANDA,2,3,49.00,3087,36.5,46.5,1.1,0.28,0.3087,16890,1470,70,moderate,successful
2133,2/9/87,1987,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,MARHEYA,2,4,76.00,3333,36.3,27.7,2.2,0.34,0.3333,16890,1928,80,clean,highly
2140,2/9/87,1987,Satara,Sclerocarya birrea/ Acacia nigrescens savanna,Basalt,544,Feb,MARHEYA,3,12,89.00,3293,36.5,28.2,2.3,0.18,0.3293,16890,1007,60,dirty,successful
2381,4/29/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,NUMBI,2,5,81.90,5377,28.0,37.1,0.9,0.31,0.5377,16890,2815,70,moderate,successful
2565,4/29/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,SHABENI,2,2,82.00,5646,29.4,38.1,0.8,0.49,0.5646,16890,4651,100,clean,highly
2754,4/29/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,KAMBENI,2,6,75.46,4645,26.4,49.5,0.9,0.31,0.4645,16890,2432,90,moderately clean,successful
2943,4/29/87,1987,Pretoriuskop,Lowveld sour bushveld,Granite,737,Apr,FAYI,2,5,86.00,3647,26.7,51.6,0.9,0.13,0.3647,16890,780,50,dirty,successful
513,5/5/87,1987,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,NWASWITSHAKA,2,5,34.00,3723,31.2,18.9,1.3,0.18,0.3723,16890,1132,100,clean,highly
635,5/5/87,1987,Skukuza,Combretum collinum / Combretum zeyheri woodland,Granite,550,Apr,MBIYAMITI,2,6,128.40,2184,33.3,20.0,1.3,0.18,0.2184,16890,664,20,dirty,unsuccessful
